Investment Time	Company Name	Website	Business Area	Round	Investment $	Segment in MS	Azure(Y/N)	Ali(Y/N)	AWS(Y/N)	cloud service they use	url	agent
9-Apr-15	UCloud??????	www.ucloud.cn	????	C?	???????						http://www.ucloud.cn	Shanghai UCloud Information Technology Company Limited
1-Jun-14	UCloud??????	www.ucloud.cn	????	B?	5000???						http://www.ucloud.cn	Shanghai UCloud Information Technology Company Limited
20-Mar-15	???	www.ppdai.com	??	C?	?????						http://www.ppdai.com	"Science & Technology Network Communication Co., Ltd."
10-Mar-15	????	www.loukou.com	????	A+?	1.5????						http://www.loukou.com	CHINANET jiangsu province network
4-Mar-15	59store	www.59store.com	????	A?	3000????						http://www.59store.com	"Aliyun Computing Co., LTD"
4-Feb-15	????	www.globaljoy.com/	??	B?	???						http://www.globaljoy.com/	"Aliyun Computing Co., LTD"
1-Feb-15	?????(???????)	http://tuan.315che.com/xp/	????	A?	??????						http://tuan.315che.com/xp/	"Tencent cloud computing (Beijing) Co., Ltd."
1-Feb-15	Mediheal????	http://cn.medihealshop.com/	????	A?	??????						http://cn.medihealshop.com/	UCloud Inc
22-Jan-15	????	http://www.innoventbio.com/	????	C?	1???						http://www.innoventbio.com/	XinNet Technology Corp.
7-Jan-15	CCDI????	www.ccdi.com.cn	????	A?	??????						http://www.ccdi.com.cn	CHINANET SHANGHAI PROVINCE NETWORK
6-Jan-15	???	www.mnchip.com	????	A?	??????						http://www.mnchip.com	"Aliyun Computing Co., LTD"
30-Dec-14	???Creditcloud	www.creditcloud.com/ 	??	A?	?????						http://www.creditcloud.com/ 	"Aliyun Computing Co., LTD"
30-Dec-14	???Creditcloud	www.creditcloud.com/ 	??	A?	?????						http://www.creditcloud.com/ 	"Aliyun Computing Co., LTD"
1-Oct-14	??	www.creditcloud.com/ 	??	A?	???						http://www.creditcloud.com/ 	"Aliyun Computing Co., LTD"
1-Oct-14	??	www.creditcloud.com/ 	??	A?	???						http://www.creditcloud.com/ 	"Aliyun Computing Co., LTD"
30-Dec-14	???	http://www.taocz.com/	????	A+?	1.5????						http://www.taocz.com/	CHINANET jiangsu province network
30-Dec-14	????-????	www.putao.cn	????	A?	1000???						http://www.putao.cn	"Aliyun Computing Co., LTD"
16-Dec-14	???	www.lanxiniu.cn	??	A?	3000????						http://www.lanxiniu.cn	"Aliyun Computing Co., LTD"
15-Dec-14	?????	www.carking001.com	????	D?	1???						http://www.carking001.com	CHINANET jiangsu province network
30-Mar-12	?????	www.carking001.com	????	B?	1500???						http://www.carking001.com	CHINANET jiangsu province network
11-Nov-11	?????	www.carking001.com	????	A?	??????						http://www.carking001.com	CHINANET jiangsu province network
8-Dec-14	???	www.gdngc.com/	??	B?	??????						http://www.gdngc.com/	"Shenzhen Aosida Communication Co., Ltd."
8-Dec-14	BioNano Genomics	www.bionanogenomics.com/ 	????	C?	5300???						http://www.bionanogenomics.com/ 	Google Inc.
3-Dec-14	????-????	www.eclicks.cn	????	B?	?????						http://www.eclicks.cn	CHINANET Guangdong province network
30-Nov-14	????	www.uoko.com	????	B?	2200???						http://www.uoko.com	"Tencent cloud computing (Beijing) Co., Ltd."
19-Jan-14	????	www.uoko.com	????	A?	400???						http://www.uoko.com	"Tencent cloud computing (Beijing) Co., Ltd."
14-Nov-14	???(???)	http://www.huanle800.com/	????	B?	??????						http://www.huanle800.com/	Chinanet Jiangsu Province Network
1-Oct-14	????	www.tenmini.com	????	A?	1000????						http://www.tenmini.com	Shanghai UCloud Information Technology Company Limited
28-Sep-14	????	www.p2peye.com	??	A?	1000???						http://www.p2peye.com	Chinanet Jiangsu Province Network
4-Sep-14	EachBuyer.com	http://www.eachbuyer.com	????	B?	???						http://www.eachbuyer.com	"Cloudflare, Inc."
1-Sep-14	???-?????	www.niuguwang.com	??	A?	??????						http://www.niuguwang.com	"Beijing capitalonline data service co.,LTD"
1-Sep-14	???	www.tongbanjie.com 	??	B?	5000???						http://www.tongbanjie.com 	"Aliyun Computing Co., LTD"
1-Sep-14	???	www.weimeizi.com	????	A?	????????						http://www.weimeizi.com	World Crossing Telecom(GuangZhou) Ltd.
20-Aug-14	??????(????)	www.xsteach.com	??	A?	3000???						http://www.xsteach.com	"Aliyun Computing Co., LTD"
3-Aug-14	Noitom???	www.noitom.com.cn	??	A?	?????						http://www.noitom.com.cn	"Aliyun Computing Co., LTD"
1-Aug-14	???	http://www.iyinxun.com/	??	A?	1000????						http://www.iyinxun.com/	"Aliyun Computing Co., LTD"
28-Jun-14	Wish	https://www.wish.com	????	C?	5000???						https://www.wish.com	Amazon Technologies Inc.
21-Jun-14	????AutoRadio	www.autoradio.cn	????	B?	2????						http://www.autoradio.cn	CNLink Network Technology Ltd.
