資料月份,金額單位,金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額含催收款之比率,逾期六個月以上帳款占應收帳款餘額含催收款之比率,備抵呆帳提足率,當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
201609,"新臺幣千元 ,卡",第一商業銀行,944592.0,632028.0,9874.0,8862.0,1422132.0,1010711.0,3768957.0,14321.0,0.17,0.0,1874.76,5490.0,50783.0
201609,"新臺幣千元 ,卡",華南商業銀行,860317.0,624604.0,11612.0,7488.0,746874.0,1722842.0,3471889.0,996.0,0.07,0.0,769.9,11522.0,36400.0
201609,"新臺幣千元 ,卡",彰化商業銀行,433112.0,210300.0,2596.0,3545.0,368688.0,163663.0,1202909.0,490.0,0.35,0.01,666.76,2636.0,20324.0
201609,"新臺幣千元 ,卡",上海商業儲蓄銀行,355758.0,177470.0,1428.0,1781.0,736921.0,183239.0,1046060.0,7095.0,0.87,0.35,1771.86,0.0,21170.0
201609,"新臺幣千元 ,卡",台北富邦商業銀行,2381409.0,1699013.0,105020.0,26099.0,6311070.0,8321286.0,15414178.0,44722.0,0.16,0.0,744.73,24720.0,212163.0
201609,"新臺幣千元 ,卡",國泰世華商業銀行,5819486.0,3987545.0,167547.0,30382.0,14403009.0,10716675.0,28436766.0,226868.0,0.13,0.0,2434.67,31589.0,274472.0
201609,"新臺幣千元 ,卡",高雄銀行,9995.0,4621.0,119.0,40.0,7595.0,112.0,161677.0,181.0,0.22,0.11,285.96,52.0,915.0
201609,"新臺幣千元 ,卡",兆豐國際商業銀行,605157.0,410685.0,6858.0,17932.0,1156534.0,751060.0,2332768.0,5486.0,0.18,0.05,628.49,2295.0,33322.0
201609,"新臺幣千元 ,卡",花旗(台灣)商業銀行,2897079.0,2451755.0,20560.0,28657.0,15625833.0,9428296.0,19323772.0,190571.0,0.49,0.09,652.89,57423.0,594087.0
201609,"新臺幣千元 ,卡",澳盛(台灣)商業銀行,551116.0,337897.0,3845.0,12350.0,3022184.0,1563877.0,2821580.0,20955.0,0.38,0.0,424.54,10956.0,122404.0
201609,"新臺幣千元 ,卡",臺灣中小企業銀行,331621.0,126622.0,646.0,1121.0,459121.0,81551.0,820864.0,4100.0,0.13,0.0,147.26,2371.0,20444.0
201609,"新臺幣千元 ,卡",渣打國際商業銀行,356338.0,215141.0,998.0,3719.0,1889387.0,579747.0,1341776.0,9266.0,0.4,0.0,552.7,9909.0,102963.0
201609,"新臺幣千元 ,卡",台中商業銀行,198983.0,78440.0,1794.0,1090.0,269003.0,43756.0,474355.0,0.0,2.03,0.75,248.82,0.0,16482.0
201609,"新臺幣千元 ,卡",匯豐(台灣)商業銀行,603903.0,416222.0,5832.0,9966.0,2680380.0,1542599.0,3807238.0,50395.0,0.26,0.0,2557.1,6834.0,67535.0
201609,"新臺幣千元 ,卡",華泰商業銀行,10182.0,6286.0,7.0,12.0,19948.0,2825.0,50429.0,0.0,0.36,0.0,243.44,1470.0,1758.0
201609,"新臺幣千元 ,卡",臺灣新光商業銀行,906911.0,480883.0,7411.0,9600.0,2067667.0,1268711.0,3638242.0,12493.0,0.24,0.01,237.57,6889.0,51659.0
201609,"新臺幣千元 ,卡",陽信商業銀行,87424.0,50234.0,1395.0,647.0,243844.0,61201.0,265218.0,148.0,0.01,0.0,1246.37,3546.0,10716.0
201609,"新臺幣千元 ,卡",三信商業銀行,17140.0,11172.0,108.0,58.0,31725.0,13959.0,115185.0,55.0,0.51,0.0,5068.36,341.0,1761.0
201609,"新臺幣千元 ,卡",聯邦商業銀行,1995367.0,1014822.0,43706.0,28514.0,4724627.0,2711166.0,6477824.0,93471.0,0.29,0.0,120.43,15815.0,126547.0
201609,"新臺幣千元 ,卡",遠東國際商業銀行,1512147.0,1016613.0,39453.0,7455.0,4746159.0,5808441.0,4172060.0,189430.0,0.4,0.13,100.29,15940.0,142181.0
201609,"新臺幣千元 ,卡",元大商業銀行,547435.0,342086.0,11305.0,2894.0,531881.0,481069.0,3954299.0,804.0,0.13,0.0,1149.5,1886.0,15677.0
201609,"新臺幣千元 ,卡",永豐商業銀行,1952814.0,1340289.0,14308.0,15191.0,4909879.0,3932349.0,6183786.0,113347.0,0.33,0.0,602.79,16569.0,136182.0
201609,"新臺幣千元 ,卡",玉山商業銀行,4220605.0,2936664.0,38711.0,23829.0,11232451.0,10438148.0,24361710.0,178144.0,0.24,0.0,1119.39,37844.0,343137.0
201609,"新臺幣千元 ,卡",凱基商業銀行,507286.0,198035.0,7647.0,9681.0,1109222.0,338650.0,1012383.0,8883.0,1.17,0.64,146.3,7803.0,61786.0
201609,"新臺幣千元 ,卡",星展(台灣)商業銀行,12823.0,5910.0,41.0,56.0,21865.0,141.0,52031.0,11.0,2.45,0.0,517.67,313.0,1616.0
201609,"新臺幣千元 ,卡",台新國際商業銀行,3624881.0,2542358.0,29640.0,21922.0,10181705.0,12781989.0,16366281.0,155959.0,0.23,0.0,611.5,22035.0,204343.0
201609,"新臺幣千元 ,卡",大眾商業銀行,597887.0,324881.0,7595.0,5335.0,932445.0,3609817.0,1773563.0,69547.0,0.02,0.02,476.4,13202.0,89099.0
201609,"新臺幣千元 ,卡",日盛國際商業銀行,178704.0,100513.0,368.0,2626.0,449772.0,215409.0,375303.0,5259.0,0.28,0.0,245.37,1703.0,12195.0
201609,"新臺幣千元 ,卡",安泰商業銀行,181749.0,70301.0,756.0,343.0,382727.0,1277871.0,449745.0,1046.0,0.55,0.13,293.4,0.0,10462.0
201609,"新臺幣千元 ,卡",中國信託商業銀行,5928093.0,3838080.0,56544.0,37699.0,14633924.0,14504022.0,25263572.0,645018.0,0.16,0.0,616.15,63781.0,544921.0
201609,"新臺幣千元 ,卡",台灣樂天信用卡(股)公司,170451.0,129353.0,10113.0,411.0,117355.0,173012.0,657598.0,1468.0,0.16,0.01,292.28,438.0,1510.0
201609,"新臺幣千元 ,卡",台灣美國運通國際(股)公司,168562.0,112880.0,3632.0,2464.0,339365.0,0.0,4064483.0,2294.0,0.25,0.0,280.57,2508.0,20645.0
201609,"新臺幣千元 ,卡",台灣永旺信用卡(股)公司,86657.0,36274.0,79.0,562.0,267076.0,46918.0,150126.0,2413.0,0.8,0.16,2229.39,1631.0,17893.0
201608,"新臺幣千元 ,卡",臺灣銀行,228765.0,108423.0,1131.0,984.0,226068.0,8705.0,685926.0,1278.0,0.3,0.11,586.59,537.0,7014.0
201608,"新臺幣千元 ,卡",臺灣土地銀行,224140.0,121966.0,3457.0,929.0,260207.0,52213.0,921018.0,1012.0,0.43,0.33,805.9,1424.0,10600.0
201608,"新臺幣千元 ,卡",合作金庫商業銀行,433195.0,262343.0,5894.0,3519.0,617560.0,206205.0,2583566.0,3219.0,0.35,0.29,297.28,0.0,28179.0
201608,"新臺幣千元 ,卡",第一商業銀行,940887.0,625038.0,13824.0,9783.0,1415354.0,1055179.0,4312713.0,16261.0,0.15,0.0,2003.25,5944.0,45293.0
201608,"新臺幣千元 ,卡",華南商業銀行,856590.0,624183.0,13997.0,8712.0,761449.0,1993522.0,3980757.0,1205.0,0.16,0.0,476.25,0.0,24878.0
201608,"新臺幣千元 ,卡",彰化商業銀行,435450.0,210553.0,3724.0,3143.0,353197.0,173298.0,1362392.0,684.0,0.3,0.01,713.1,5432.0,17688.0
201608,"新臺幣千元 ,卡",上海商業儲蓄銀行,356111.0,178229.0,1356.0,2366.0,715462.0,189513.0,1068610.0,6828.0,0.67,0.16,2538.18,6304.0,21170.0
201608,"新臺幣千元 ,卡",台北富邦商業銀行,2302488.0,1701094.0,29236.0,29955.0,6263732.0,7806120.0,18554014.0,48812.0,0.15,0.0,762.44,22962.0,187443.0
201608,"新臺幣千元 ,卡",國泰世華商業銀行,5682321.0,3877832.0,245426.0,34778.0,14364062.0,11234646.0,36350403.0,274429.0,0.12,0.0,2451.35,28322.0,242883.0
201608,"新臺幣千元 ,卡",高雄銀行,9916.0,4614.0,209.0,90.0,7438.0,118.0,157051.0,191.0,0.27,0.15,257.12,0.0,863.0
201608,"新臺幣千元 ,卡",兆豐國際商業銀行,616231.0,410382.0,8679.0,6524.0,1141199.0,764487.0,2564718.0,5610.0,0.16,0.06,607.87,4008.0,31027.0
201608,"新臺幣千元 ,卡",花旗(台灣)商業銀行,2895006.0,2457443.0,16852.0,31774.0,15813441.0,9599381.0,19927082.0,215838.0,0.47,0.09,665.25,58260.0,536664.0
201608,"新臺幣千元 ,卡",澳盛(台灣)商業銀行,559705.0,343121.0,4805.0,4559.0,3031065.0,1568724.0,3205455.0,22440.0,0.36,0.0,423.23,15983.0,111448.0
201608,"新臺幣千元 ,卡",臺灣中小企業銀行,332096.0,127167.0,923.0,1767.0,451382.0,85284.0,894405.0,4567.0,0.12,0.02,142.08,2397.0,18073.0
201608,"新臺幣千元 ,卡",渣打國際商業銀行,359926.0,218005.0,1373.0,4883.0,1888187.0,622172.0,1458114.0,10300.0,0.42,0.0,544.59,10559.0,93054.0
201608,"新臺幣千元 ,卡",台中商業銀行,198913.0,78621.0,2271.0,1253.0,256428.0,41112.0,534131.0,0.0,1.74,0.4,311.51,0.0,16482.0
201608,"新臺幣千元 ,卡",匯豐(台灣)商業銀行,608037.0,419621.0,5959.0,11212.0,2688423.0,1590780.0,4269785.0,54165.0,0.24,0.0,2713.19,8409.0,60701.0
201608,"新臺幣千元 ,卡",華泰商業銀行,10197.0,6309.0,12.0,14.0,19734.0,2654.0,56937.0,0.0,1.71,1.7,227.84,0.0,288.0
201608,"新臺幣千元 ,卡",臺灣新光商業銀行,909100.0,481519.0,9239.0,9422.0,2034497.0,1409603.0,4455387.0,16073.0,0.24,0.02,244.87,6559.0,44770.0
201608,"新臺幣千元 ,卡",陽信商業銀行,86675.0,49260.0,2045.0,797.0,242374.0,61737.0,304032.0,266.0,0.57,0.0,803.17,0.0,7170.0
201608,"新臺幣千元 ,卡",三信商業銀行,17129.0,11223.0,166.0,76.0,31695.0,13592.0,111084.0,36.0,0.44,0.0,5410.25,131.0,1420.0
201608,"新臺幣千元 ,卡",聯邦商業銀行,1980175.0,933751.0,187202.0,25178.0,4659314.0,2798607.0,7096957.0,92423.0,0.29,0.0,120.0,15957.0,110732.0
201608,"新臺幣千元 ,卡",遠東國際商業銀行,1480131.0,1021853.0,11188.0,8227.0,4710693.0,5775250.0,4720136.0,235689.0,0.39,0.11,100.5,16500.0,126241.0
201608,"新臺幣千元 ,卡",元大商業銀行,537567.0,331624.0,15757.0,3045.0,452237.0,469389.0,4087224.0,739.0,0.13,0.0,1163.02,2060.0,13791.0
201608,"新臺幣千元 ,卡",永豐商業銀行,1953697.0,1353340.0,17251.0,388880.0,4896801.0,4124830.0,7292624.0,129908.0,0.33,0.0,611.38,14752.0,119613.0
201608,"新臺幣千元 ,卡",玉山商業銀行,4205723.0,2925684.0,44584.0,24727.0,11088748.0,11434919.0,26510834.0,189339.0,0.24,0.0,1081.82,38277.0,305293.0
201608,"新臺幣千元 ,卡",凱基商業銀行,509297.0,198061.0,8020.0,8166.0,1097085.0,305387.0,1050670.0,10008.0,1.24,0.76,134.99,10008.0,53983.0
201608,"新臺幣千元 ,卡",星展(台灣)商業銀行,12838.0,5957.0,45.0,63.0,22192.0,171.0,57307.0,8.0,1.29,0.0,718.57,732.0,1303.0
201608,"新臺幣千元 ,卡",台新國際商業銀行,3617163.0,2538375.0,35657.0,28712.0,10161097.0,13150022.0,18627438.0,147527.0,0.22,0.0,611.99,22096.0,182308.0
201608,"新臺幣千元 ,卡",大眾商業銀行,595654.0,324591.0,7914.0,22208.0,936963.0,3674487.0,2058084.0,80403.0,0.01,0.01,470.2,14355.0,75897.0
201608,"新臺幣千元 ,卡",日盛國際商業銀行,180962.0,100333.0,425.0,3402.0,443207.0,217581.0,446340.0,5436.0,0.27,0.0,223.52,1050.0,10492.0
201608,"新臺幣千元 ,卡",安泰商業銀行,181593.0,70257.0,850.0,474.0,383637.0,1277375.0,474264.0,1216.0,0.4,0.01,302.52,0.0,10462.0
201608,"新臺幣千元 ,卡",中國信託商業銀行,5909323.0,3837933.0,45644.0,44674.0,14440259.0,15263027.0,29240269.0,716152.0,0.15,0.0,611.01,57048.0,481140.0
201608,"新臺幣千元 ,卡",台灣樂天信用卡(股)公司,160533.0,121511.0,12745.0,486.0,107268.0,160523.0,642159.0,1575.0,0.13,0.04,274.46,322.0,1072.0
201608,"新臺幣千元 ,卡",台灣美國運通國際(股)公司,167394.0,113374.0,3943.0,2780.0,334679.0,0.0,3569761.0,1778.0,0.17,0.0,349.97,3277.0,18137.0
201608,"新臺幣千元 ,卡",台灣永旺信用卡(股)公司,87121.0,36968.0,138.0,591.0,265661.0,48171.0,146074.0,2718.0,0.73,0.2,2341.68,1327.0,16262.0
201607,"新臺幣千元 ,卡",臺灣銀行,228231.0,108199.0,956.0,828.0,228558.0,9059.0,589529.0,1267.0,0.26,0.09,657.43,637.0,6477.0
201607,"新臺幣千元 ,卡",臺灣土地銀行,221246.0,115874.0,9589.0,866.0,259215.0,54510.0,763036.0,855.0,0.42,0.2,1211.81,1101.0,9176.0
201607,"新臺幣千元 ,卡",合作金庫商業銀行,430729.0,260044.0,5437.0,3117.0,615898.0,417836.0,2349611.0,3386.0,0.21,0.18,344.1,4856.0,28179.0
